0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Droplets,1,2003,0,0,0,0,0,0,3,1,0,0,0,1,2,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0
Refinement,3,2003,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Pop,2,2003,0,3,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Natural-spirals,1,2003,1,1,1,1,1,4,0,1,0,0,0,1,2,1,1,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0
animorphic,1,2003,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Canted,1,2003,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,2,0,1,0,0,0,1,0,0,0
Alpha-face,3,2003,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Shadow,3,2003,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
Transparency,1,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,1,0,0,1
Green,1,2003,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Punctuation,2,2003,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Labels,3,2003,0,0,0,0,0,0,3,1,0,0,0,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Photo-icon,1,2003,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
Slinky,1,2003,0,1,1,1,1,4,0,0,0,0,0,0,1,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Wire,1,2003,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Glassine,1,2004,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Bubbles,1,2004,1,2,0,0,0,4,3,0,0,0,0,1,2,1,1,1,1,0,1,0,1,2,0,1,0,1,1,1,1,0,0
Dialogue-Boxes,3,2004,0,3,0,1,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Substitutions,2,2004,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
implied,1,2004,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
Letter-Bars,3,2004,0,1,0,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
Universal-People,1,2004,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Handmade,1,2004,0,3,0,1,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0
Arm-Sight,1,2004,0,1,0,1,0,0,3,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
