index,year,cat,name,arg1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,max,25,2,3,1,1,5,5,1,1,4,2,3,6,1,1,1,3,1,1,1,1,1,1,1,1,1
0,0,0,idx_name,0,Point_normal point_point on segment_intersections_vertex,Type of line_straighe line_curve line_free curve,Speed_yes_no,Thickness_yes_no,Direction of Line_verticality_horizontality_multidirection_rotation_direction of slant,Surface_square_rectangle_circle_triangle_polygon,Transformation of surface_yes_no,Perspective_yes_no,Type of Volume_corniform_cylinder_cube_sphere,Natural object_organism substance_inorganic substance,Artificiality_geometry_artifact_typo,Concept of Color_analogous_monochromatic_triad_complementary_compound_colorful concept,Texture_yes_no,Rhythm_yes_no,Space_yes_no,Direction of composition_one direction_multi direction_rotation,Weight_yes_no,Detachment_yes_no,Touching_yes_no,Overlapping_yes_no,Penetration_yes_no,Union_yes_no,Subtraction_yes_no,Intersection_yes_no,Coinciding_yes_no
0,0,0,cat,0,A,A,A,A,A,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,D,D,D,D
0,0,0,node_color,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2003,A,Wire,#ffaaaa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21,2004,A,Letter-Bars,#ffaaaa,0,1,0,1,1,2,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0
26,2004,A,Cave-Rings,#ffaaaa,0,2,0,0,4,3,1,0,0,0,1,2,1,1,0,3,0,0,0,1,1,0,1,0,0
40,2005,A,Line-Dots,#ffaaaa,2,2,0,0,5,3,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
41,2005,A,Good-Drops,#ffaaaa,0,2,0,1,4,3,1,0,0,2,0,2,1,1,0,2,0,0,0,1,0,1,1,0,1
50,2006,A,Orbs,#ffaaaa,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
60,2006,A,Scribbles,#ffaaaa,0,3,1,1,3,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0
69,2007,A,Descending-Dots,#ffaaaa,1,0,0,0,0,3,1,0,0,0,1,0,1,1,1,3,0,1,0,0,0,1,0,0,0
73,2007,A,3D,#ffaaaa,0,0,0,0,0,0,1,1,0,0,1,5,0,0,1,0,1,0,0,0,1,1,0,0,0
45,2005,A ,Hot Dogs,#ffaaaa,0,1,0,1,0,2,1,0,0,0,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0
2,2003,B,Refinement,#33ff66,0,1,0,0,0,5,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3,2003,B,Pop,#33ff66,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4,2003,B,Natural-spirals,#33ff66,1,1,1,1,4,0,1,0,0,2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
5,2003,B,animorphic,#33ff66,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,2003,B,Alpha-face,#33ff66,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9,2003,B,Transparency,#33ff66,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,2,0,0,0,1,0,1,0,0,1
10,2003,B,Green,#33ff66,0,0,0,0,0,3,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2003,B,Punctuation,#33ff66,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2003,B,Photo-icon,#33ff66,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0
16,2004,B,Glassine,#33ff66,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
17,2004,B,Bubbles,#33ff66,1,2,0,0,4,3,0,0,0,2,0,1,0,1,0,2,0,1,0,1,1,1,1,0,0
