word,cat,A_M,A_SD,V_M,V_SD
man of the cloth,noun,4.41,2.71,6.42,2,
dark-green,adj,4.28,2.46,6.18,2.05,
gift,verb,5.12,2.42,5.93,2.1,
headdress,noun,4.1,2,5.46,1.36,
superscript,adj,3.83,2.05,3.07,1.57,
unplanned,adj,5.38,2.58,6.02,1.77,
fleet,verb,3.47,2.39,7.17,1.2,
darkness,noun,4.28,2.21,4.71,2.36,
anger,noun,8.17,1.4,2.41,1.86,
change integrity,verb,4.65,2.39,3.2,1.81,
nudeness,noun,6.41,2.09,6.82,1.63,
production,noun,2.5,1.85,5.2,1.21,
quality,noun,4.12,2.3,6.34,1.56,
pleasure,noun,6.5,2.49,2.13,1.81,
frigid,adj,5.19,2.23,4.02,1.99,
upbringing,noun,5.74,2.46,6.69,1.77,
forbear,verb,4.95,2.19,6.45,1.93,
be after,verb,5.44,2.47,7.05,1.96,
shooting iron,noun,6.15,2.19,4.2,2.58,
trauma,noun,5.85,2.49,1.9,1.26,
unpleasant person,noun,6.5,2.49,2.13,1.81,
embrace,noun,5.35,2.76,8,1.55,
go down,verb,6.95,2.44,2.31,1.44,
moon curser,noun,4.76,2.4,5.67,1.91,
enduring,adj,4.21,2.37,5.29,1.89,
hunt down,verb,4.39,2.29,5.88,1.62,
cocksucker,noun,4.7,2.59,3.98,1.73,
scraps,noun,5.04,2.5,2.98,1.96,
vexation,noun,5.07,2.74,2.02,1.06,
human-centred,adj,4.5,1.91,6.89,1.7,
distortion,noun,4.07,2.15,4.64,1.36,
put,verb,2.95,1.72,4.95,0.98,
make out,verb,5,2.32,3.64,2.08,
accumulation,noun,6.75,2.3,8.27,0.9,
symbol,noun,6.07,2.67,7.47,1.72,
trip,verb,6.21,2.51,7.1,2,
go bad,verb,6.95,2.44,2.31,1.44,
anticipate,verb,5.3,2.66,6.68,2.71,
labor leader,noun,4.28,2.46,6.18,2.05,
miry,adj,4.13,2.13,4.44,2.07,
falsehood,noun,5.68,2.46,2.9,1.63,
measuring device,noun,7.25,2.25,8.19,1.13,
cognitive content,noun,5.86,1.81,7,1.34,
semantic role,noun,4.21,2.37,5.29,1.89,
snap,noun,4.37,2.32,6.85,1.71,
look out,verb,5,2.68,6.68,1.84,
disposition,noun,4.54,1.86,6.46,1.52,
psyche,noun,5,2.68,6.68,1.84,
pride,noun,4.98,2.31,4.3,1.91,
determination,noun,4.47,2.43,5.3,1.61,
wound,verb,5.8,2,3.62,2.18,
madness,noun,6.1,2.62,1.77,0.97,
slovenly person,noun,4.2,2.42,5.07,1.97,
curtilage,noun,4.39,2.35,6.71,1.74,
vamper,noun,6.91,1.69,7.52,1.19,
stink,noun,4.36,2.46,2.19,1.37,
nose candy,noun,5.75,2.47,7.08,1.83,
inhospitable,adj,6.44,2.28,2.73,1.5,
confect,noun,4.52,2.37,5.56,1.38,
pit,verb,4.79,2.11,3.38,1.7,
depression,noun,3.61,2.56,7.51,1.38,
dog-iron,noun,5.76,2.5,7.57,1.66,
currency,noun,7.37,2.21,8.37,1,
glob,noun,4.8,2.82,4.16,2.34,
go,verb,6.21,2.51,7.1,2,
barf,noun,5.75,2.84,2.06,1.57,
brave,noun,4.11,2.09,3.86,1.55,
building,noun,4.56,2.41,7.26,1.72,
traitorous,adj,6.56,2.21,1.93,1.61,
chemist,noun,4.61,2.24,5.39,1.8,
packaging,noun,6.44,2.58,8.2,1.15,
knuckle down,verb,6.21,2.93,1.84,1.13,
colouring,noun,4.73,2.64,7.02,1.57,
manducate,verb,6,2.43,7.18,1.97,
represent,verb,5.12,2.39,6.95,1.85,
male person,noun,4.58,2.37,6.32,1.6,
military personnel,noun,3.89,2.17,5.89,1.55,
chill,noun,8.02,1.65,8.05,1.48,
set,verb,4.71,2.09,6.93,1.47,
catch,noun,4.59,2.1,3.83,1.7,
vesture,noun,4.49,2.5,6.07,1.61,
carry through,verb,6.53,2.56,7.7,1.24,
misinform,verb,7.24,2.06,1.68,1.02,
content,noun,4.89,2.46,6.28,1.45,
enthralled,adj,6.21,2.93,1.84,1.13,
impartial,adj,3.18,1.85,4.61,1.28,
restrained,adj,2.9,1.81,4.67,1.31,
key,verb,4.25,2.47,5.55,2.24,
cartel,noun,5.3,2.66,6.68,2.71,
mental state,noun,6.33,2.45,2.1,1.49,
fate,noun,4.95,2.81,1.7,1.07,
putting to death,noun,6.77,2.42,1.64,1.18,
seafaring,noun,5.55,2.23,6.25,1.91,
surface area,noun,5.14,2.54,6.78,1.66,
middle,noun,2.95,1.72,4.95,0.98,
onslaught,noun,7.17,2.06,3.22,2.06,
combustion,noun,7.17,2.06,3.22,2.06,
ringing,adj,5.4,2.33,7.5,1.55,
loaded,adj,5.8,2.73,7.7,1.34,
respiratory illness,noun,5.19,2.23,4.02,1.99,
canal,noun,5.55,2.55,6.14,1.77,
undo,verb,6.83,2.38,2.64,2.03,
adult female,noun,4.93,2.22,6.33,1.97,
piping,noun,3.81,2.14,5.12,0.92,
grampus,noun,7.86,1.89,1.89,1.39,
denizen,noun,3.95,1.97,5.05,1.34,
equid,noun,3.89,2.17,5.89,1.55,
mischievous,adj,6.09,2.44,2.96,2.37,
religious rite,noun,4.1,2.12,5.78,1.51,
human,noun,5.24,2.31,6.73,1.7,
scissor grip,noun,4.47,1.76,5.05,0.96,
suppose,verb,5.98,2.14,7.32,1.52,
centre,verb,4.65,2.13,5.2,1.28,
irrecoverable,adj,5.82,2.62,2.82,1.83,
fipple flute,noun,4.69,1.99,5.81,1.21,
at rest,adj,5.73,2.73,1.94,1.76,
Leslie Townes Hope,noun,5.44,2.47,7.05,1.96,
wicked,adj,6.29,2.43,2.93,2.15,
anuran,noun,4.54,2.03,5.71,1.74,
brass,noun,5.04,2.18,6.39,1.6,
glum,adj,4.28,2.21,4.71,2.36,
glad,adj,4.34,2.31,6.89,2.29,
exacerbate,verb,5.76,2.15,3.11,1.67,
thirst,verb,6.88,1.85,7.12,1.62,
intellectual,noun,5,2.68,6.68,1.84,
reproductive structure,noun,5.03,2.65,7.26,1.18,
transport,verb,5.44,2.88,8.26,1.04,
compound lever,noun,4.47,1.76,5.05,0.96,
evil,noun,5.76,1.95,5.57,2.05,
unification,noun,6.34,2.35,6.48,2.45,
block of metal,noun,4.2,2.42,5.07,1.97,
missile,noun,5.33,2.48,3.29,2.06,
step in,verb,4.95,2.01,4.1,1.88,
muddy,adj,4.88,2.29,3.08,2.05,
disruption,noun,5.71,2.34,4.95,2.22,
depressant,adj,4.93,2.57,4.29,2.3,
material,noun,3.71,2.51,6.9,1.27,
forking,noun,3.96,1.94,5.29,0.97,
perceive,verb,5.85,2.49,1.9,1.26,
sweeten,verb,4.58,2.4,6.54,2.09,
coloured,adj,4.61,2.24,5.39,1.8,
beam,verb,6.22,1.91,2.73,1.72,
Theodore Harold White,noun,4.37,2.14,6.47,1.59,
thought,adj,4.84,2.57,6,2.21,
suffering,noun,6.1,2.77,1.56,0.79,
mitigated,adj,4.94,2.63,7.94,1.19,
skillet,noun,5.71,2.21,3.33,1.72,
desire,noun,4.53,2.72,6.73,1.75,
principal,noun,4.95,2.14,6.12,1.86,
maneuver,verb,3.42,2.21,6.32,1.56,
potentiality,noun,5.38,2.58,6.02,1.77,
savor,verb,5.22,2.38,6.66,1.57,
fell,adj,5.68,2.65,1.97,1.67,
modify,verb,4.44,1.96,6.16,1.89,
pass on,verb,4.4,2.07,5.95,1.38,
trigger,verb,4.86,2.56,5.46,0.98,
afeared,adj,6.67,2.54,2,1.28,
sovereign,noun,5.51,2.77,7.26,1.67,
disagreeable woman,noun,5.76,2.5,7.57,1.66,
Scorpion,noun,5.38,3.08,3.69,2.63,
storage space,noun,4.39,2.33,4.32,1.68,
cast,verb,5.75,2.84,2.06,1.57,
kill,verb,5.33,2.63,2.28,1.74,
mental object,noun,5.74,2.46,6.69,1.77,
tamed,adj,3.21,2.57,7.31,1.3,
canine,noun,5.76,2.5,7.57,1.66,
milksop,noun,5.17,2.57,3.14,1.96,
cod,verb,5.87,2.56,4.84,2.51,
sexual desire,noun,6.44,3.35,8.72,0.7,
stirred,adj,4.29,2.45,1.9,1.14,
municipality,noun,5.24,2.53,6.03,1.37,
trance,verb,5.16,2.25,6.77,1.58,
ingest,verb,5.69,2.51,7.47,1.73,
military service,noun,5.03,2.03,4.72,1.75,
insulting,adj,5.04,2.56,3.02,2.03,
cost,noun,5.57,2.26,3.05,1.65,
patch,noun,4.39,2.35,6.71,1.74,
pull ahead,verb,7.72,2.16,8.38,0.92,
permissive,adj,4.63,2.61,7.12,1.34,
give away,verb,7.24,2.06,1.68,1.02,
stupefied,adj,4.72,2.71,2.31,1.37,
sting,verb,4.7,2.59,3.98,1.73,
