영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다,,MAX,,
19,0.15,0.00,0.00,0.23,0.03,0.00,0.00,0.07,0.02,0.00,0.02,0.00,0.02,0.02,0.14,0.05,0.01,0.02,0.03,0.00,0.00,0.00,0.01,0.08,0.01,0.02,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.23,4.00,재미있다
300,0.00,0.00,0.00,0.06,0.03,0.02,0.00,0.05,0.03,0.01,0.04,0.04,0.05,0.01,0.14,0.14,0.00,0.01,0.04,0.00,0.00,0.01,0.01,0.06,0.02,0.04,0.03,0.01,0.02,0.07,0.00,0.01,0.00,0.00,0.01,0.01,,0.14,16.00,환상적이다
1408,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.03,0.01,0.00,0.00,0.01,0.02,0.07,0.04,0.03,0.00,0.01,0.04,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.02,0.00,0.01,0.01,0.25,0.06,0.11,0.03,0.02,0.07,,0.25,31.00,공포스럽다
2012,0.00,0.00,0.00,0.08,0.03,0.01,0.01,0.04,0.01,0.01,0.04,0.01,0.05,0.02,0.12,0.03,0.00,0.05,0.11,0.01,0.00,0.01,0.01,0.07,0.02,0.04,0.05,0.00,0.02,0.02,0.01,0.04,0.02,0.00,0.01,0.05,,0.12,15.00,대단하다
007스카이폴,0.01,0.00,0.01,0.06,0.01,0.01,0.00,0.08,0.02,0.02,0.01,0.01,0.03,0.05,0.09,0.08,0.00,0.02,0.14,0.00,0.00,0.01,0.01,0.06,0.04,0.04,0.11,0.00,0.01,0.02,0.00,0.03,0.00,0.00,0.01,0.02,,0.14,19.00,지루하다
007제21탄-카지노로얄,0.01,0.00,0.01,0.08,0.01,0.01,0.00,0.07,0.04,0.01,0.01,0.00,0.03,0.14,0.12,0.13,0.00,0.02,0.06,0.01,0.00,0.01,0.01,0.05,0.02,0.02,0.05,0.00,0.01,0.02,0.00,0.03,0.00,0.00,0.00,0.02,,0.14,14.00,놀라다
007제22탄-퀀텀오브솔러스,0.01,0.01,0.00,0.07,0.02,0.04,0.00,0.05,0.02,0.01,0.00,0.00,0.02,0.03,0.09,0.12,0.00,0.01,0.11,0.00,0.00,0.00,0.02,0.09,0.07,0.04,0.08,0.00,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.02,,0.12,16.00,환상적이다
10억,0.01,0.00,0.00,0.11,0.01,0.00,0.00,0.05,0.01,0.00,0.01,0.01,0.02,0.12,0.05,0.03,0.00,0.04,0.08,0.00,0.01,0.00,0.02,0.09,0.03,0.03,0.04,0.00,0.03,0.04,0.01,0.05,0.01,0.00,0.01,0.08,,0.12,14.00,놀라다
127시간,0.01,0.00,0.00,0.03,0.00,0.00,0.05,0.03,0.02,0.01,0.09,0.02,0.02,0.04,0.08,0.06,0.01,0.02,0.13,0.04,0.00,0.03,0.01,0.05,0.05,0.02,0.02,0.01,0.01,0.04,0.01,0.02,0.01,0.00,0.02,0.01,,0.13,19.00,지루하다
13구역,0.01,0.02,0.01,0.10,0.03,0.14,0.01,0.03,0.02,0.00,0.01,0.01,0.02,0.04,0.17,0.11,0.00,0.01,0.03,0.00,0.00,0.00,0.01,0.06,0.01,0.01,0.07,0.00,0.01,0.02,0.02,0.02,0.00,0.00,0.00,0.03,,0.17,15.00,대단하다
19곰테드,0.15,0.00,0.11,0.12,0.17,0.01,0.01,0.04,0.02,0.00,0.04,0.00,0.01,0.02,0.04,0.02,0.01,0.03,0.04,0.01,0.00,0.01,0.00,0.05,0.02,0.03,0.04,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,5.00,즐겁다
1번가의기적,0.07,0.00,0.01,0.10,0.13,0.00,0.03,0.05,0.02,0.01,0.16,0.00,0.01,0.01,0.06,0.01,0.00,0.03,0.05,0.02,0.00,0.09,0.01,0.05,0.01,0.01,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,11.00,감동적이다
26년,0.01,0.00,0.00,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.03,0.00,0.01,0.01,0.04,0.02,0.01,0.01,0.04,0.07,0.01,0.06,0.00,0.07,0.03,0.07,0.12,0.01,0.07,0.18,0.00,0.01,0.01,0.00,0.01,0.00,,0.18,30.00,잔인하다
500일의썸머,0.03,0.00,0.02,0.07,0.02,0.00,0.03,0.03,0.27,0.00,0.03,0.00,0.01,0.04,0.05,0.05,0.01,0.02,0.07,0.04,0.01,0.02,0.01,0.03,0.01,0.02,0.07,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,,0.27,9.00,황홀하다
577프로젝트,0.02,0.01,0.10,0.11,0.10,0.00,0.01,0.10,0.01,0.01,0.07,0.01,0.04,0.08,0.06,0.05,0.02,0.01,0.05,0.01,0.00,0.02,0.00,0.04,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.11,4.00,재미있다
