Category,Level1,Level2,Level3,Level4,Level5,Federal,,GovXFer,State,Local,Total
#NAME?,Pensions,Sickness and disability,,,,0,,0,0,0,0
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),0.38,b,,,,0.38
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),0.893,b,,,,0.893
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),0.083,b,,,,0.083
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),54.561,b,,,,54.561
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),-0.052,b,,,,-0.052
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),0.105,b,,,,0.105
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),83.099,b,,,,83.099
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),-2.075,b,,,,-2.075
---Judicial Officers' Retirement Fund,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),0.059,b,,,,0.059
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),-0.146,b,,,,-0.146
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Federal employee retirement and disability (602),Federal employee retirement and disability (602),0.146,b,,,,0.146
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),61.661,b,,,,61.661
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),0.175,b,,,,0.175
"---FOASI, General Fund Payments for Payroll Tax Holiday (PL 111-312)",Pensions,Old age,Social security (651),Social security (651),Social security (651),-25.456,b,,,,-25.456
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),-29.19,b,,,,-29.19
