슈퍼마켓(일반)	324	1921	653	361	290	418	872	573	290	126
화장품	1488	2308	1336	1437	168	9737	4614	2423	1503	249
정통호프	112	238	14	70	0	42	56	14	14	14
정육점	11	318	297	131	98	11	88	220	143	11
편의점	1088	2003	451	150	15	1222	905	255	105	0
분식	94	658	752	282	0	282	564	94	0	0
주유소	8205	31102	23541	11972	6869	2863	12005	8553	5875	2022
햄버거	507	2424	1990	624	234	195	1642	899	78	78
치킨/바비큐/호프	264	384	240	144	0	96	144	144	48	0
음료/카페/다방	110	0	154	0	0	0	22	0	0	0
한정식	126	810	243	27	90	117	270	117	45	18
스테이크 전문점	339	1201	561	196	0	56	71	14	0	0
커피전문점	439	1751	253	161	0	606	184	161	0	0
정통일식	0	65	143	52	26	0	13	52	26	0
이비인후과	45	150	135	45	0	75	15	45	0	0
자동차경정비	0	0	36	36	0	0	0	0	0	0
갈비/삽겹살/불고기	33	66	198	22	22	11	11	0	44	22
실내포차	83	209	84	14	0	42	42	28	0	0
활어회	286	726	462	396	176	154	110	132	110	22
문구/팬시	0	0	38	0	0	19	0	0	19	0
잡화	0	0	27	0	0	0	0	0	0	0
일반식당	66	377	266	572	44	0	22	44	66	0
약국	60	675	826	270	135	60	525	315	300	120
찜닭/불닭	0	0	0	0	0	0	52	0	0	0
돈가스 전문점	658	2536	2490	750	611	658	1222	1175	423	94
패밀리레스토랑	23	161	230	115	46	69	115	184	92	0
피부과	627	627	912	798	228	571	914	285	171	57
동물병원	0	90	150	0	0	0	30	15	0	0
치과	0	84	42	84	0	0	0	0	0	0
내과	0	56	28	112	84	0	0	84	28	0
여성미용실	0	0	16	0	0	0	0	48	16	0
대입학원	0	0	0	0	0	0	11	0	0	0
기타외국어학원	110	164	132	379	11	261	110	209	197	21
스크린골프	0	33	33	0	11	0	0	0	0	0
뷔페	48	96	224	128	48	0	16	80	112	32
독서실/고시원	0	0	0	24	0	0	0	0	0	0
클럽주점	22	22	11	0	0	0	0	0	0	0
정형외과	36	162	252	486	36	36	162	198	72	0
노래방	72	325	306	272	18	0	72	90	0	0
의료기	0	0	44	0	11	0	0	0	11	0
비뇨기과	133	76	342	247	152	0	0	38	0	76
서적/도서	0	0	42	0	0	0	0	0	0	0
소아과	11	1199	132	33	11	88	535	33	22	11
찜질방	0	22	0	0	11	0	11	0	0	0
한방병원	0	48	16	0	0	48	143	32	0	0
성형외과	0	107	0	107	107	107	107	0	107	0
어린이전문학원	0	11	11	0	43	0	0	0	0	0
컴퓨터/주변기기	0	0	26	0	0	0	0	0	0	0
PC방	228	342	0	0	0	0	76	38	38	0
일반의류	232	230	68	140	18	158	36	46	32	0
삼계탕/초계탕	20	80	100	20	20	40	80	0	0	0
스포츠/등산용품	0	0	0	0	0	11	0	0	0	0
죽전문점	66	319	481	176	44	22	197	231	44	0
낙지/쭈꾸미/오징어	77	264	187	77	0	66	121	55	11	0
영어학원	0	0	11	0	0	0	21	0	0	0
커리/덮밥	80	176	48	0	16	48	48	32	16	0
신발	0	36	54	0	0	0	18	0	0	0
세탁소/빨래방	0	0	14	0	0	0	0	0	0	0
오토바이	9	0	27	18	0	0	0	0	0	0
남성미용실	144	545	304	80	0	48	177	160	48	16
모텔	0	0	11	0	0	0	0	0	0	0
냉면	0	32	32	0	0	0	0	0	0	0
갈매기살	56	42	84	28	28	14	0	0	14	0
샤브샤브	50	425	250	75	0	75	300	150	75	0
안과의원	27	63	54	54	72	9	27	81	9	0
해물찜/탕	0	56	70	28	0	0	14	56	28	14
아이스크림	314	2268	1329	105	30	420	1437	538	180	90
조명/전기용품	0	0	0	0	19	0	0	0	0	0
해장국/감자탕 전문	95	627	532	190	57	57	323	266	57	19
당구장	28	140	28	28	0	0	0	0	28	0
떡/한과	169	598	325	65	26	624	416	221	78	0
사철탕	20	200	40	40	20	0	0	20	0	40
초밥 전문점	0	0	21	0	0	0	0	0	0	0
이탈리안레스토랑	84	84	98	42	0	14	28	14	0	0
가정용가구	0	0	0	16	0	0	0	0	0	0
BAR	0	154	22	0	0	0	0	0	0	0
유아/아동복	0	0	0	0	0	0	32	0	0	0
네일아트/케어	221	182	65	156	0	440	156	78	52	0
악기	8	24	128	32	0	16	40	88	16	0
도너츠	1485	2733	937	312	117	1835	1210	820	546	78
청과물	11	263	274	22	44	0	99	165	98	141
미술학원	0	0	44	0	0	0	0	22	11	0
보리밥/비빔밥/쌈밥	42	357	231	84	63	63	105	168	147	0
애견용품	0	0	11	0	0	11	11	0	0	0
스포츠마사지	0	0	0	0	0	12	49	12	0	0
자전거	0	0	0	11	0	0	0	0	0	0
닭갈비	100	240	280	80	0	40	140	60	20	0
굴/전복	140	1470	1120	140	0	280	840	420	210	140
놀이방	0	33	33	0	0	0	11	0	0	0
목욕탕	25	25	50	50	0	0	0	0	25	0
신경외과	11	231	329	186	66	121	99	88	110	55
꼬치구이	88	154	66	0	22	22	0	0	0	0
콩/두부	0	12	12	60	12	0	0	0	0	0
차량물품/인테리어	0	0	0	11	0	0	0	0	0	0
국수/만두 전문점	510	1530	1020	68	34	850	578	204	68	0
도장	0	0	0	0	0	0	0	11	0	0
전통주점	640	1634	378	87	0	174	436	116	116	0
라멘/우동 전문점	27	54	9	18	0	18	27	36	0	0
추어탕	0	63	80	32	0	0	16	80	32	16
베이커리	722	1483	513	171	76	437	760	266	76	0
