index,Point_no_normal point_point on segment_intersections_vertex,Surface_no_square_rectangle_circle_triangle_polygon,Transformation<br>  of surface_no_yes,Perspective_no_yes,Type of<br> Volume_no_corniform_cylinder_cube_sphere,Type of<br>  line_no_straight line_curve line_free curve,Speed_no_yes,Thickness_no_yes,Direction<br>  of  Line_no_verticality_horizontality_multidirection_rotation_direction of slant,Transformation<br>  of Volume_no_yes,Rhythm_no_yes,Space_no_yes,Direction of<br>  composition_no_one direction_multi direction_rotation,Weight_no_yes,Penetration_no_yes,Union_no_yes,Subtraction_no_yes,Intersection_no_yes,Detachment_no_yes,Touching_no_yes,Overlapping_no_yes,Coinciding_no_yes,Natural object_no_organism substance_inorganic substance,Artificiality_no_geometry_artifact_typo,Concept of<br>  Color_no_analogous_monochromatic_triad_complementary_compound_colorful concept,Texture_no_yes
Droplets,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0
Refinement,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0
Pop,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0
Natural-spirals,1,0,1,0,0,2,1,1,4,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0
animorphic,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Canted,1,5,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0
Alpha-face,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Shadow,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0
Transparency,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,6,0
Green,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Punctuation,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0
Labels,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0
Photo-icon,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,1
Slinky,0,0,0,0,0,2,1,1,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0
Wire,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Glassine,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Bubbles,1,3,0,0,0,2,0,0,4,0,1,0,2,0,1,1,1,0,1,0,1,0,2,0,1,0
Dialogue-Boxes,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0
implied,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Letter-Bars,0,2,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0
Universal-People,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Handmade,0,0,1,0,0,3,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0
Arm-Sight,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Human-Nature,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Cave-Rings,0,3,1,0,0,2,0,0,4,0,1,0,3,0,1,0,1,0,0,0,1,0,0,1,2,1
Particle-Fields,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Prism,0,2,1,1,3,0,0,0,0,1,1,1,2,0,1,1,0,0,0,1,1,0,0,2,6,0
Mezzotint,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
